"","A","S","E","O","R","T"
"3738","young","M","high","emp","big","car"
"3739","adult","M","high","emp","big","train"
"3740","young","M","high","emp","small","car"
"3741","adult","F","high","emp","small","other"
"3742","adult","F","high","emp","big","car"
"3743","adult","M","uni","emp","big","train"
"3744","young","M","high","emp","big","other"
"3745","adult","M","high","emp","big","car"
"3746","old","F","high","emp","big","train"
"3747","young","M","uni","emp","small","car"
"3748","old","M","high","emp","small","train"
"3749","young","M","uni","self","big","car"
"3750","adult","M","high","emp","big","car"
"3751","adult","M","high","emp","small","train"
"3752","young","M","high","emp","big","car"
"3753","adult","F","high","emp","small","train"
"3754","adult","M","high","emp","big","other"
"3755","young","F","high","emp","big","other"
"3756","adult","F","uni","emp","small","train"
"3757","old","M","high","emp","big","other"
"3758","adult","M","uni","emp","big","other"
"3759","young","M","high","emp","small","car"
"3760","adult","F","uni","emp","big","car"
"3761","adult","F","high","emp","small","car"
"3762","adult","F","high","emp","small","car"
"3763","adult","M","high","emp","small","car"
"3764","adult","M","high","emp","small","car"
"3765","old","M","high","emp","big","car"
"3766","old","M","high","emp","big","car"
"3767","old","M","high","emp","big","other"
"3768","young","F","high","emp","big","car"
"3769","adult","F","high","emp","small","car"
"3770","young","M","high","emp","small","train"
"3771","adult","F","high","emp","big","car"
"3772","old","M","uni","emp","big","train"
"3773","adult","F","high","emp","big","car"
"3774","adult","F","high","emp","big","train"
"3775","old","M","high","emp","small","train"
"3776","adult","M","high","emp","small","train"
"3777","old","M","high","emp","big","train"
"3778","young","M","high","emp","small","train"
"3779","old","M","high","emp","big","car"
"3780","old","M","high","emp","big","car"
"3781","young","M","high","emp","big","car"
"3782","young","M","high","emp","big","car"
"3783","young","M","uni","emp","big","train"
"3784","adult","M","high","emp","small","car"
"3785","adult","F","high","emp","small","car"
"3786","adult","M","uni","emp","big","car"
"3787","adult","M","high","emp","big","car"
"3788","adult","M","high","emp","small","car"
"3789","young","M","high","emp","small","train"
"3790","young","M","high","emp","small","car"
"3791","young","M","high","emp","small","car"
"3792","adult","M","high","self","big","car"
"3793","adult","M","uni","emp","small","other"
"3794","adult","M","high","emp","big","train"
"3795","adult","M","high","emp","small","train"
"3796","young","M","high","emp","big","car"
"3797","young","M","high","emp","big","car"
"3798","young","M","high","emp","small","train"
"3799","adult","M","high","emp","big","car"
"3800","adult","F","high","emp","small","train"
"3801","young","M","uni","emp","big","car"
"3802","adult","F","high","emp","big","car"
"3803","old","F","high","emp","big","car"
"3804","adult","M","uni","self","big","train"
"3805","adult","F","high","emp","big","car"
"3806","adult","M","high","emp","big","car"
"3807","adult","F","high","emp","small","train"
"3808","young","F","high","emp","small","train"
"3809","adult","M","uni","emp","big","train"
"3810","young","M","uni","emp","big","car"
"3811","young","F","high","self","small","train"
"3812","young","F","high","emp","big","car"
"3813","old","M","high","emp","big","car"
"3814","old","M","high","emp","big","car"
"3815","old","F","uni","emp","small","car"
"3816","adult","F","high","emp","small","car"
"3817","adult","F","high","emp","small","train"
"3818","young","F","uni","emp","big","train"
"3819","young","F","high","emp","big","car"
"3820","adult","M","uni","emp","big","car"
"3821","young","M","high","emp","big","other"
"3822","adult","M","high","self","big","train"
"3823","old","F","high","emp","big","car"
"3824","adult","M","uni","emp","small","car"
"3825","young","F","high","emp","big","car"
"3826","young","M","high","emp","big","train"
"3827","adult","M","high","emp","big","car"
"3828","old","M","high","emp","big","other"
"3829","adult","F","high","emp","small","car"
"3830","adult","F","high","emp","big","car"
"3831","old","M","uni","emp","small","train"
"3832","young","F","high","emp","small","car"
"3833","adult","F","high","emp","big","car"
"3834","adult","F","high","emp","big","other"
"3835","adult","F","uni","emp","big","car"
"3836","old","M","high","emp","small","other"
"3837","old","F","high","emp","small","car"
"3838","young","M","high","emp","big","other"
"3839","adult","F","uni","emp","big","car"
"3840","old","M","uni","emp","big","car"
"3841","young","F","high","emp","big","car"
"3842","adult","M","high","self","big","car"
"3843","young","F","uni","self","big","train"
"3844","adult","M","uni","emp","big","train"
"3845","adult","M","high","emp","small","train"
"3846","adult","F","uni","emp","big","other"
"3847","adult","F","high","emp","big","car"
"3848","young","M","high","emp","small","train"
"3849","old","M","high","emp","big","train"
"3850","old","F","high","emp","big","train"
"3851","young","M","uni","emp","small","car"
"3852","old","M","high","emp","big","other"
"3853","adult","M","high","self","small","car"
"3854","young","M","high","emp","big","train"
"3855","young","M","high","emp","big","train"
"3856","adult","M","high","emp","big","car"
"3857","old","M","high","emp","big","other"
"3858","adult","M","uni","emp","small","car"
"3859","adult","M","high","emp","big","train"
"3860","adult","F","high","emp","big","car"
"3861","old","F","high","emp","big","car"
"3862","old","M","high","emp","big","car"
"3863","young","M","high","emp","big","car"
"3864","old","F","high","emp","small","car"
"3865","young","M","high","emp","big","car"
"3866","adult","M","high","emp","big","car"
"3867","adult","F","uni","emp","big","car"
"3868","adult","M","uni","emp","big","train"
"3869","young","M","uni","emp","big","car"
"3870","adult","M","uni","emp","big","other"
"3871","young","M","uni","emp","big","car"
"3872","old","M","high","emp","big","train"
"3873","adult","M","high","emp","small","car"
"3874","young","F","high","emp","small","car"
"3875","young","F","uni","emp","big","other"
"3876","adult","M","uni","emp","big","train"
"3877","old","F","high","emp","small","car"
"3878","old","M","high","emp","big","other"
"3879","adult","M","high","emp","big","car"
"3880","young","M","high","emp","big","car"
"3881","old","F","high","emp","big","other"
"3882","adult","M","high","emp","big","car"
"3883","young","M","high","emp","small","car"
"3884","old","M","high","emp","big","car"
"3885","old","M","high","emp","big","car"
"3886","young","F","high","emp","big","car"
"3887","young","M","uni","self","big","train"
"3888","adult","F","high","emp","big","train"
"3889","adult","M","high","emp","big","car"
"3890","old","F","high","emp","big","train"
"3891","adult","F","high","emp","small","car"
"3892","adult","M","high","emp","big","car"
"3893","adult","F","high","emp","big","other"
"3894","old","F","uni","emp","big","train"
"3895","adult","F","high","emp","big","other"
"3896","adult","M","high","emp","small","car"
"3897","adult","M","high","emp","small","train"
"3898","adult","M","uni","emp","big","car"
"3899","adult","F","uni","emp","big","car"
"3900","young","M","high","emp","big","car"
"3901","adult","M","high","emp","big","car"
"3902","young","M","high","emp","big","car"
"3903","young","F","high","emp","big","train"
"3904","young","F","uni","emp","big","other"
"3905","old","F","high","emp","small","car"
"3906","adult","F","uni","emp","big","car"
"3907","adult","M","high","emp","big","train"
"3908","old","M","high","emp","big","car"
"3909","adult","F","high","emp","big","train"
"3910","adult","M","high","emp","big","other"
"3911","adult","M","high","emp","big","other"
"3912","adult","F","uni","emp","big","train"
"3913","young","F","uni","emp","small","train"
"3914","adult","M","uni","self","big","car"
"3915","adult","F","uni","emp","big","car"
"3916","adult","M","high","emp","small","train"
"3917","old","F","high","emp","big","train"
"3918","adult","M","uni","emp","big","car"
"3919","adult","F","high","emp","small","train"
"3920","old","M","high","emp","big","car"
"3921","young","M","high","emp","big","train"
"3922","young","F","high","emp","big","train"
"3923","old","F","high","emp","small","train"
"3924","old","F","high","emp","big","train"
"3925","old","F","high","emp","small","train"
"3926","adult","F","uni","emp","big","car"
"3927","old","F","high","emp","small","train"
"3928","adult","F","uni","emp","big","other"
"3929","old","M","high","emp","big","train"
"3930","adult","M","high","emp","small","train"
"3931","adult","M","high","emp","big","other"
"3932","adult","M","uni","emp","big","other"
"3933","old","M","uni","emp","big","car"
"3934","old","F","high","emp","big","train"
"3935","adult","F","uni","emp","big","car"
"3936","adult","M","high","emp","big","car"
"3937","young","M","high","emp","big","car"
"3938","adult","M","uni","emp","big","car"
"3939","young","M","high","emp","big","car"
"3940","young","M","high","emp","big","other"
"3941","adult","F","high","emp","big","train"
"3942","young","M","high","emp","big","other"
"3943","young","F","high","emp","small","train"
"3944","old","M","high","emp","big","car"
"3945","old","M","high","emp","small","car"
"3946","adult","F","high","emp","big","train"
"3947","young","M","high","emp","big","other"
"3948","old","M","high","emp","big","other"
"3949","young","F","high","emp","small","train"
"3950","adult","M","high","emp","big","train"
"3951","young","M","high","emp","small","car"
"3952","young","M","high","self","big","train"
"3953","young","F","uni","emp","big","car"
"3954","adult","M","uni","emp","big","car"
"3955","old","M","high","emp","big","train"
"3956","young","M","high","emp","big","train"
"3957","young","F","uni","emp","small","train"
"3958","young","F","uni","emp","big","other"
"3959","young","F","uni","emp","big","car"
"3960","adult","F","uni","emp","small","car"
"3961","old","M","high","emp","big","car"
"3962","old","M","high","emp","big","other"
"3963","adult","M","high","emp","small","car"
"3964","young","F","high","emp","big","car"
"3965","young","F","high","emp","big","train"
"3966","adult","M","high","emp","small","car"
"3967","adult","M","uni","emp","big","car"
"3968","young","M","high","emp","big","train"
"3969","old","F","high","emp","small","car"
"3970","adult","F","high","emp","big","car"
"3971","young","M","high","emp","big","train"
"3972","young","F","uni","emp","big","other"
"3973","adult","F","high","emp","small","train"
"3974","adult","F","high","emp","big","car"
"3975","adult","F","uni","self","big","car"
"3976","young","F","high","emp","big","train"
"3977","old","M","high","emp","big","train"
"3978","old","M","high","emp","big","train"
"3979","adult","M","high","emp","small","train"
"3980","young","M","high","emp","big","train"
"3981","young","M","high","emp","big","train"
"3982","adult","M","high","emp","big","car"
"3983","old","F","high","emp","big","car"
"3984","adult","F","high","emp","big","other"
"3985","young","M","uni","emp","big","car"
"3986","adult","M","uni","emp","big","train"
"3987","young","M","high","emp","small","car"
"3988","young","F","high","emp","big","car"
"3989","old","M","high","self","big","train"
"3990","old","M","high","emp","big","car"
"3991","adult","M","uni","self","big","train"
"3992","young","M","high","emp","big","train"
"3993","adult","M","high","emp","big","other"
"3994","old","M","uni","emp","big","car"
"3995","adult","F","high","emp","big","other"
"3996","young","F","high","emp","big","train"
"3997","young","M","high","emp","small","car"
"3998","young","F","high","emp","big","other"
"3999","adult","M","high","emp","big","other"
"4000","young","F","uni","emp","big","car"
"4001","old","M","high","emp","big","car"
"4002","adult","M","high","emp","big","other"
"4003","young","M","high","emp","big","car"
"4004","adult","M","uni","emp","big","train"
"4005","old","F","high","emp","big","other"
"4006","adult","M","high","self","big","car"
"4007","adult","M","high","emp","small","car"
"4008","young","M","uni","emp","big","car"
"4009","young","M","uni","emp","big","car"
"4010","adult","M","high","emp","small","train"
"4011","adult","M","high","emp","big","car"
"4012","young","F","high","emp","small","car"
"4013","young","F","uni","emp","small","car"
"4014","adult","M","uni","emp","big","car"
"4015","adult","F","high","emp","big","car"
"4016","adult","M","uni","emp","big","train"
"4017","young","M","high","emp","big","other"
"4018","old","M","high","emp","big","car"
"4019","young","M","high","emp","small","car"
"4020","adult","F","high","emp","big","car"
"4021","old","F","uni","self","big","car"
"4022","adult","F","high","emp","small","train"
"4023","old","M","uni","emp","big","train"
"4024","adult","F","high","self","big","car"
"4025","adult","M","high","emp","big","car"
"4026","adult","M","high","emp","small","car"
"4027","adult","M","high","emp","big","car"
"4028","young","M","high","emp","big","car"
"4029","old","M","uni","emp","big","car"
"4030","young","M","high","emp","big","car"
"4031","young","M","high","emp","small","train"
"4032","young","F","high","emp","big","other"
"4033","young","M","high","emp","big","car"
"4034","adult","M","high","emp","big","train"
"4035","young","F","uni","emp","big","other"
"4036","adult","M","high","emp","big","train"
"4037","adult","F","uni","self","big","car"
"4038","adult","F","high","emp","big","other"
"4039","adult","F","high","emp","small","train"
"4040","adult","M","high","emp","small","train"
"4041","young","F","high","emp","big","other"
"4042","adult","F","high","emp","big","car"
"4043","adult","M","uni","emp","small","car"
"4044","adult","F","high","emp","big","car"
"4045","old","F","high","emp","small","train"
"4046","adult","F","high","emp","big","car"
"4047","old","M","high","self","big","car"
"4048","adult","M","uni","emp","big","train"
"4049","young","M","uni","self","big","car"
"4050","old","F","high","emp","big","train"
"4051","adult","M","high","emp","small","other"
"4052","adult","F","high","emp","big","other"
"4053","adult","F","high","emp","small","car"
"4054","adult","M","high","emp","big","other"
"4055","adult","F","uni","emp","big","car"
"4056","adult","M","high","emp","big","other"
"4057","young","M","high","emp","small","car"
"4058","adult","M","uni","self","small","train"
"4059","old","F","high","emp","big","car"
"4060","young","F","high","emp","big","train"
"4061","adult","F","high","emp","big","car"
"4062","adult","M","uni","emp","big","car"
"4063","young","M","high","emp","big","car"
"4064","adult","M","high","emp","big","car"
"4065","young","F","uni","emp","small","other"
"4066","adult","M","uni","emp","big","car"
"4067","old","F","high","emp","big","car"
"4068","old","F","high","emp","big","train"
"4069","old","M","high","emp","big","train"
"4070","adult","M","uni","self","big","other"
"4071","old","M","high","emp","big","car"
"4072","adult","M","high","emp","big","train"
"4073","adult","M","uni","emp","big","train"
"4074","adult","F","uni","emp","big","car"
"4075","adult","F","high","emp","big","car"
"4076","old","F","high","emp","big","other"
"4077","young","M","high","emp","small","car"
"4078","old","F","high","emp","big","car"
"4079","young","F","high","emp","big","car"
"4080","adult","M","uni","emp","small","car"
"4081","old","M","high","emp","big","car"
"4082","adult","M","high","emp","big","car"
"4083","adult","F","high","emp","small","car"
"4084","old","F","high","emp","big","car"
"4085","adult","F","high","emp","big","car"
"4086","old","M","high","emp","small","car"
"4087","adult","F","high","emp","big","car"
"4088","adult","M","high","emp","small","car"
"4089","old","M","high","emp","big","car"
"4090","young","M","high","emp","big","car"
"4091","young","F","high","emp","small","train"
"4092","old","F","high","emp","big","car"
"4093","adult","M","high","emp","big","other"
"4094","adult","M","high","emp","big","car"
"4095","adult","M","uni","emp","big","car"
"4096","old","M","high","emp","big","other"
"4097","young","M","high","emp","small","other"
"4098","young","F","high","emp","big","other"
"4099","adult","F","high","emp","big","other"
"4100","young","F","uni","emp","small","train"
"4101","adult","M","high","emp","small","other"
"4102","adult","M","high","emp","big","train"
"4103","young","F","high","emp","big","car"
"4104","old","F","high","emp","big","car"
"4105","old","F","high","emp","small","car"
"4106","young","F","uni","emp","big","car"
"4107","adult","M","high","emp","big","other"
"4108","young","M","high","emp","big","train"
"4109","young","F","high","emp","big","car"
"4110","adult","F","high","emp","big","car"
"4111","old","F","high","emp","big","car"
"4112","old","M","high","emp","small","car"
"4113","young","M","uni","emp","big","other"
"4114","adult","F","uni","emp","big","train"
"4115","adult","M","high","emp","small","train"
"4116","adult","M","high","emp","big","car"
"4117","adult","F","high","emp","big","car"
"4118","adult","M","high","emp","big","train"
"4119","old","M","high","emp","big","car"
"4120","old","M","uni","self","small","train"
"4121","adult","M","high","emp","big","train"
"4122","adult","F","uni","emp","small","other"
"4123","adult","F","uni","emp","big","other"
"4124","adult","M","high","emp","small","other"
"4125","young","M","high","emp","big","train"
"4126","adult","F","high","emp","small","train"
"4127","old","M","high","emp","big","other"
"4128","adult","M","high","emp","big","other"
"4129","adult","M","high","emp","big","train"
"4130","adult","M","high","emp","small","train"
"4131","adult","M","high","emp","small","car"
"4132","old","M","high","emp","big","other"
"4133","old","F","high","emp","big","train"
"4134","adult","M","uni","self","big","train"
"4135","young","F","high","emp","big","car"
"4136","adult","M","uni","emp","big","car"
"4137","adult","F","high","emp","small","train"
"4138","adult","M","high","emp","big","train"
"4139","young","F","high","emp","small","train"
"4140","adult","M","high","emp","big","train"
"4141","adult","F","high","emp","small","train"
"4142","young","M","high","emp","big","car"
"4143","adult","F","uni","emp","big","car"
"4144","adult","M","high","emp","big","car"
"4145","young","M","high","emp","big","other"
"4146","young","M","uni","emp","big","car"
"4147","adult","M","uni","emp","big","other"
"4148","young","M","high","emp","big","other"
"4149","young","M","high","emp","big","car"
"4150","young","F","high","emp","big","other"
"4151","adult","M","high","emp","big","car"
"4152","young","M","high","emp","big","car"
"4153","old","F","high","emp","big","train"
"4154","young","M","high","emp","small","car"
"4155","adult","F","high","emp","big","other"
"4156","adult","F","high","self","small","car"
"4157","old","M","high","emp","big","car"
"4158","adult","F","high","emp","big","car"
"4159","adult","F","high","emp","big","car"
"4160","adult","F","uni","emp","big","car"
"4161","old","M","high","emp","small","car"
"4162","adult","M","high","emp","big","car"
"4163","adult","M","high","self","big","car"
"4164","young","M","uni","emp","big","train"
"4165","young","F","high","emp","big","car"
"4166","young","M","high","emp","big","train"
"4167","young","M","high","emp","big","car"
"4168","young","F","uni","emp","big","car"
"4169","adult","M","uni","emp","small","car"
"4170","young","F","uni","emp","big","train"
"4171","adult","M","high","emp","small","car"
"4172","old","M","high","emp","big","train"
"4173","adult","M","high","emp","big","car"
"4174","old","F","uni","emp","big","car"
"4175","young","M","high","emp","big","car"
"4176","young","F","uni","emp","big","train"
"4177","young","F","high","emp","big","car"
"4178","adult","F","high","emp","big","car"
"4179","adult","F","high","emp","big","car"
"4180","adult","M","high","emp","big","car"
"4181","adult","M","high","emp","small","train"
"4182","adult","M","high","emp","big","train"
"4183","adult","M","high","emp","big","car"
"4184","old","M","high","emp","big","other"
"4185","adult","M","high","emp","small","car"
"4186","adult","F","high","emp","small","car"
"4187","old","M","high","emp","big","train"
"4188","old","M","high","emp","big","car"
"4189","young","F","uni","emp","big","train"
"4190","young","M","uni","emp","big","other"
"4191","young","M","high","emp","big","car"
"4192","adult","M","high","emp","big","car"
"4193","old","M","high","emp","big","car"
"4194","adult","M","high","emp","big","car"
"4195","adult","F","high","emp","small","train"
"4196","old","M","uni","emp","big","car"
"4197","adult","M","high","emp","big","car"
"4198","old","M","uni","emp","big","train"
"4199","adult","M","high","emp","small","train"
"4200","young","F","high","emp","big","car"
"4201","young","M","high","emp","small","other"
"4202","young","M","high","emp","big","other"
"4203","young","M","high","self","big","car"
"4204","adult","M","uni","emp","big","car"
"4205","old","M","high","emp","big","other"
"4206","old","M","uni","emp","big","other"
"4207","adult","F","high","emp","big","car"
"4208","adult","M","high","emp","big","train"
"4209","adult","M","uni","emp","big","car"
"4210","young","F","high","emp","big","car"
"4211","adult","M","uni","emp","small","train"
"4212","adult","M","high","emp","big","other"
"4213","young","M","high","emp","big","other"
"4214","young","M","uni","emp","big","other"
"4215","adult","F","high","emp","big","car"
"4216","old","F","high","emp","big","car"
"4217","adult","M","uni","emp","small","car"
"4218","young","F","uni","emp","big","train"
"4219","adult","M","high","emp","big","car"
"4220","young","M","high","emp","big","car"
"4221","old","M","high","emp","big","other"
"4222","young","M","uni","emp","big","car"
"4223","adult","M","high","emp","big","car"
"4224","young","M","high","emp","small","other"
"4225","old","F","high","emp","big","car"
"4226","adult","M","uni","emp","big","train"
"4227","young","M","high","emp","small","car"
"4228","adult","M","high","emp","big","other"
"4229","adult","M","uni","self","small","other"
"4230","old","F","high","emp","big","car"
"4231","adult","M","high","emp","big","car"
"4232","young","F","uni","self","big","car"
"4233","old","M","high","emp","small","train"
"4234","young","M","high","emp","big","car"
"4235","young","F","uni","emp","big","car"
"4236","adult","M","high","emp","big","other"
"4237","adult","M","uni","emp","big","car"
"4238","adult","M","high","emp","big","car"
"4239","old","F","high","emp","big","car"
"4240","adult","M","uni","emp","big","car"
"4241","adult","M","high","emp","small","train"
"4242","adult","F","uni","emp","big","car"
"4243","adult","F","high","emp","big","car"
"4244","adult","F","high","emp","big","car"
"4245","adult","F","high","emp","big","car"
"4246","old","M","uni","emp","big","other"
"4247","young","M","high","emp","small","train"
"4248","young","F","high","emp","big","other"
"4249","young","M","high","emp","big","other"
"4250","old","M","high","emp","small","car"
"4251","young","M","high","emp","small","train"
"4252","adult","M","high","emp","big","car"
"4253","adult","M","high","emp","small","car"
"4254","old","M","high","emp","big","car"
"4255","adult","F","high","emp","small","car"
"4256","old","M","high","emp","small","train"
"4257","old","M","high","emp","big","train"
"4258","adult","F","high","emp","big","train"
"4259","young","F","high","emp","big","train"
"4260","adult","M","high","emp","small","car"
"4261","adult","M","uni","emp","big","car"
"4262","adult","M","uni","emp","big","train"
"4263","adult","M","uni","emp","big","car"
"4264","adult","M","high","emp","big","train"
"4265","adult","M","high","emp","big","train"
"4266","old","M","high","emp","big","car"
"4267","adult","M","uni","emp","small","car"
"4268","young","M","uni","emp","big","car"
"4269","young","M","high","emp","small","train"
"4270","adult","M","high","emp","big","car"
"4271","adult","M","high","self","big","car"
"4272","adult","M","high","emp","small","car"
"4273","adult","F","high","emp","big","car"
"4274","adult","M","high","emp","big","other"
"4275","old","F","high","emp","big","train"
"4276","young","M","high","emp","big","car"
"4277","old","F","high","emp","big","car"
"4278","young","M","uni","emp","big","train"
"4279","old","M","uni","emp","small","train"
"4280","adult","M","high","emp","big","other"
"4281","young","F","high","emp","big","car"
"4282","old","F","uni","emp","big","car"
"4283","young","F","uni","emp","big","train"
"4284","old","M","high","emp","big","train"
"4285","young","M","high","emp","big","train"
"4286","adult","M","high","emp","big","train"
"4287","adult","F","high","emp","small","other"
"4288","young","M","high","emp","small","train"
"4289","adult","F","high","emp","big","car"
"4290","old","F","high","emp","small","car"
"4291","old","M","high","emp","small","car"
"4292","young","M","high","emp","big","car"
"4293","young","F","high","emp","big","car"
"4294","old","M","high","self","big","car"
"4295","young","F","high","emp","big","train"
"4296","adult","F","uni","emp","big","car"
"4297","adult","F","high","emp","big","car"
"4298","adult","F","high","emp","big","car"
"4299","young","M","high","emp","big","car"
"4300","adult","M","high","emp","big","car"
"4301","adult","M","uni","emp","big","car"
"4302","young","F","uni","emp","big","other"
"4303","adult","F","high","emp","big","car"
"4304","young","M","high","emp","small","car"
"4305","old","F","high","emp","big","car"
"4306","old","M","high","emp","big","car"
"4307","adult","M","high","emp","big","car"
"4308","young","M","high","emp","big","other"
"4309","young","F","high","emp","small","car"
"4310","young","F","high","emp","small","train"
"4311","adult","F","uni","emp","big","car"
"4312","adult","M","high","emp","big","train"
"4313","adult","M","high","emp","small","car"
"4314","young","M","high","emp","big","train"
"4315","young","F","high","emp","small","train"
"4316","adult","M","high","emp","small","car"
"4317","young","M","uni","self","big","car"
"4318","adult","M","high","emp","big","car"
"4319","adult","M","high","emp","big","car"
"4320","adult","M","uni","self","big","train"
"4321","old","M","high","emp","small","car"
"4322","adult","F","high","emp","big","train"
"4323","old","F","high","emp","big","other"
"4324","old","M","high","emp","small","train"
"4325","adult","M","high","emp","small","other"
"4326","old","M","high","emp","small","car"
"4327","young","M","high","emp","small","car"
"4328","old","F","high","emp","small","car"
"4329","old","F","high","emp","big","car"
"4330","adult","F","high","emp","big","train"
"4331","young","F","uni","emp","big","car"
"4332","adult","M","high","emp","big","car"
"4333","adult","M","high","emp","big","train"
"4334","adult","F","high","emp","small","car"
"4335","adult","M","uni","emp","big","train"
"4336","young","M","high","emp","big","car"
"4337","young","F","high","emp","big","other"
"4338","adult","F","high","emp","big","car"
"4339","young","F","high","emp","big","car"
"4340","young","F","high","emp","big","other"
"4341","adult","M","uni","emp","big","car"
"4342","young","F","high","emp","small","train"
"4343","adult","M","high","emp","big","car"
"4344","adult","F","high","self","big","car"
"4345","adult","M","uni","emp","big","train"
"4346","adult","M","high","emp","big","car"
"4347","adult","M","high","emp","big","train"
"4348","adult","F","uni","emp","big","car"
"4349","adult","M","high","emp","big","car"
"4350","young","F","uni","emp","big","car"
"4351","young","M","high","emp","small","train"
"4352","young","M","high","emp","big","car"
"4353","adult","M","high","emp","big","car"
"4354","old","M","high","emp","small","train"
"4355","adult","F","uni","emp","big","car"
"4356","adult","M","uni","emp","big","car"
"4357","adult","M","high","emp","big","other"
"4358","young","M","uni","emp","big","train"
"4359","young","F","high","emp","big","car"
"4360","adult","F","high","emp","big","car"
"4361","adult","F","high","emp","small","car"
"4362","old","M","high","emp","big","car"
"4363","adult","M","uni","emp","big","train"
"4364","adult","M","uni","emp","small","car"
"4365","old","F","high","emp","big","car"
"4366","old","M","high","emp","big","car"
"4367","old","F","high","emp","big","car"
"4368","young","F","high","emp","big","other"
"4369","old","M","high","emp","big","other"
"4370","adult","F","high","emp","small","train"
"4371","young","F","uni","emp","big","car"
"4372","old","F","high","emp","big","car"
"4373","adult","M","uni","emp","big","car"
"4374","adult","M","uni","self","big","car"
"4375","young","F","high","emp","big","car"
"4376","old","M","high","emp","big","car"
"4377","adult","F","high","emp","big","car"
"4378","young","F","high","emp","big","other"
"4379","adult","M","high","emp","small","car"
"4380","adult","M","high","emp","big","car"
"4381","adult","M","high","emp","small","car"
"4382","adult","M","high","emp","big","train"
"4383","old","M","high","emp","big","other"
"4384","young","M","high","emp","big","car"
"4385","adult","F","high","emp","big","train"
"4386","adult","F","high","emp","big","train"
"4387","adult","M","high","emp","small","car"
"4388","adult","M","high","emp","big","car"
"4389","adult","F","uni","self","big","car"
"4390","old","F","high","emp","small","train"
"4391","old","M","uni","emp","big","car"
"4392","young","M","high","emp","big","train"
"4393","young","M","uni","self","small","car"
"4394","young","M","uni","emp","big","car"
"4395","young","M","high","emp","big","car"
"4396","adult","F","high","emp","big","train"
"4397","adult","F","uni","emp","big","train"
"4398","adult","M","high","emp","big","train"
"4399","adult","F","high","emp","small","train"
"4400","adult","F","uni","emp","big","train"
"4401","adult","M","uni","emp","big","other"
"4402","adult","F","uni","emp","big","car"
"4403","adult","F","uni","emp","big","car"
"4404","young","F","high","emp","big","car"
"4405","young","M","uni","emp","big","car"
"4406","young","F","uni","emp","big","car"
"4407","old","M","high","emp","small","other"
"4408","young","M","uni","emp","big","other"
"4409","young","M","high","emp","big","car"
"4410","adult","M","high","emp","big","train"
"4411","young","M","high","emp","big","train"
"4412","adult","M","high","emp","big","car"
"4413","young","F","high","emp","small","train"
"4414","young","M","high","emp","big","car"
"4415","old","M","high","emp","big","other"
"4416","young","F","high","emp","big","train"
"4417","old","F","high","emp","big","car"
"4418","adult","F","high","emp","big","car"
"4419","old","F","high","emp","small","train"
"4420","young","M","high","emp","small","train"
"4421","adult","M","high","emp","small","train"
"4422","young","M","uni","emp","big","car"
"4423","young","M","uni","emp","small","train"
"4424","adult","M","high","emp","big","train"
"4425","old","M","uni","emp","big","train"
"4426","adult","M","high","emp","big","other"
"4427","adult","M","high","emp","big","train"
"4428","old","F","high","emp","big","car"
"4429","young","F","high","emp","big","other"
"4430","adult","M","high","emp","big","other"
"4431","young","F","high","emp","big","train"
"4432","young","M","high","emp","big","car"
"4433","old","F","high","emp","big","car"
"4434","adult","F","uni","self","big","car"
"4435","adult","M","high","emp","big","car"
"4436","adult","F","high","emp","small","train"
"4437","young","F","high","emp","big","car"
"4438","young","F","high","emp","big","train"
"4439","adult","F","high","emp","small","other"
"4440","young","F","high","emp","big","other"
"4441","young","M","high","emp","big","car"
"4442","old","F","high","emp","big","car"
"4443","adult","M","uni","emp","big","car"
"4444","adult","F","uni","emp","small","car"
"4445","adult","M","high","emp","small","train"
"4446","old","M","high","emp","big","car"
"4447","adult","M","high","emp","big","car"
"4448","adult","F","uni","emp","big","car"
"4449","young","M","high","emp","big","car"
"4450","young","F","high","self","big","train"
"4451","adult","M","high","emp","big","car"
"4452","old","F","high","emp","big","train"
"4453","adult","M","high","emp","big","train"
"4454","adult","M","high","emp","small","other"
"4455","adult","F","high","emp","big","car"
"4456","adult","M","high","emp","big","train"
"4457","young","F","high","emp","big","car"
"4458","adult","M","uni","emp","big","train"
"4459","young","F","uni","emp","big","car"
"4460","adult","M","high","emp","big","car"
"4461","adult","F","uni","emp","big","other"
"4462","young","F","uni","emp","small","other"
"4463","adult","F","high","emp","big","car"
"4464","young","M","uni","emp","big","train"
"4465","adult","F","high","emp","big","car"
"4466","young","M","high","emp","big","car"
"4467","young","F","high","emp","small","train"
"4468","adult","M","uni","emp","big","train"
"4469","adult","F","high","emp","big","car"
"4470","young","M","high","emp","big","other"
"4471","adult","M","high","emp","big","train"
"4472","young","F","high","emp","big","car"
"4473","old","M","high","emp","small","train"
"4474","adult","F","high","emp","big","car"
"4475","young","F","high","emp","small","train"
"4476","adult","M","high","emp","small","train"
"4477","adult","F","uni","emp","big","car"
"4478","adult","F","high","emp","small","train"
"4479","adult","M","high","emp","small","car"
"4480","adult","M","high","emp","big","train"
"4481","young","F","uni","emp","big","other"
"4482","adult","F","high","emp","small","car"
"4483","adult","M","high","emp","big","train"
"4484","adult","M","high","emp","big","car"
"4485","young","M","uni","emp","big","train"
